"","code","gold","silver","bronze","total","country","population"
"1","USA",46,37,38,121,"United States",321418820
"2","GBR",27,23,17,67,"United Kingdom",65138232
"3","CHN",26,18,26,70,"China",1371220000
"4","RUS",19,18,19,56,"Russian Federation",144096812
"5","DEU",17,10,15,42,"Germany",81413145
"6","JPN",12,8,21,41,"Japan",126958472
"7","FRA",10,18,14,42,"France",66808385
"8","KOR",9,3,9,21,"Korea, Rep.",50617045
"9","ITA",8,12,8,28,"Italy",60802085
"10","AUS",8,11,10,29,"Australia",23781169
"11","HUN",8,3,4,15,"Hungary",9844686
"12","BRA",7,6,6,19,"Brazil",207847528
"13","ESP",7,4,6,17,"Spain",46418269
"14","KEN",6,6,1,13,"Kenya",46050302
"15","JAM",6,3,2,11,"Jamaica",2725941
"16","CUB",5,2,4,11,"Cuba",11389562
"17","NZL",4,9,5,18,"New Zealand",4595700
"18","CAN",4,3,15,22,"Canada",35851774
"19","UZB",4,2,7,13,"Uzbekistan",31299500
"20","KAZ",3,5,9,17,"Kazakhstan",17544126
"21","COL",3,2,3,8,"Colombia",48228704
"22","ARG",3,1,0,4,"Argentina",43416755
"23","SWE",2,6,3,11,"Sweden",9798871
"24","UKR",2,5,4,11,"Ukraine",45198200
"25","SRB",2,4,2,8,"Serbia",7098247
"26","POL",2,3,6,11,"Poland",37999494
"27","PRK",2,3,2,7,"Korea, Dem. People's Rep.",25155317
"28","BEL",2,2,2,6,"Belgium",11285721
"29","THA",2,2,2,6,"Thailand",67959359
"30","SVK",2,2,0,4,"Slovak Republic",5424050
"31","GEO",2,1,4,7,"Georgia",3679000
"32","AZE",1,7,10,18,"Azerbaijan",9651349
"33","BLR",1,4,4,9,"Belarus",9513000
"34","TUR",1,3,4,8,"Turkey",78665830
"35","ARM",1,3,0,4,"Armenia",3017712
"36","CZE",1,2,7,10,"Czech Republic",10551219
"37","ETH",1,2,5,8,"Ethiopia",99390750
"38","ROU",1,1,3,5,"Romania",19832389
"39","BHR",1,1,0,2,"Bahrain",1377237
"40","CIV",1,0,1,2,"Cote d'Ivoire",22701556
"41","JOR",1,0,0,1,"Jordan",7594547
"42","TJK",1,0,0,1,"Tajikistan",8481855
"43","MEX",0,3,2,5,"Mexico",127017224
"44","IRL",0,2,0,2,"Ireland",4640703
"45","LTU",0,1,3,4,"Lithuania",2910199
"46","VEN",0,1,2,3,"Venezuela, RB",31108083
"47","IND",0,1,1,2,"India",1311050527
"48","BDI",0,1,0,1,"Burundi",11178921
"49","QAT",0,1,0,1,"Qatar",2235355
"50","NOR",0,0,4,4,"Norway",5195921
"51","EGY",0,0,3,3,"Egypt, Arab Rep.",91508084
"52","TUN",0,0,3,3,"Tunisia",11107800
"53","ISR",0,0,2,2,"Israel",8380400
"54","AUT",0,0,1,1,"Austria",8611088
"55","DOM",0,0,1,1,"Dominican Republic",10528391
"56","EST",0,0,1,1,"Estonia",1311998
"57","FIN",0,0,1,1,"Finland",5482013
"58","MAR",0,0,1,1,"Morocco",34377511
"59","MDA",0,0,1,1,"Moldova",3554150
"60","TTO",0,0,1,1,"Trinidad and Tobago",1360088
